,Title,Published_date,Views,Likes,Favourite,Comments,Month
211,How to Integrate Data Science into Your Business,2020-03-02,3388,129,0,18,Mar
212,The Problem with Data Science,2020-02-28,3804,154,0,19,Feb
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1185,46,0,16,Feb
214,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,132327,2509,0,97,Feb
215,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,330734,17894,0,527,Feb
216,Data Science Advice for College Students,2020-02-14,69021,1964,0,197,Feb
217,Avoid These Data Science Resume Mistakes!,2020-02-10,28620,1250,0,62,Feb
218,Data Science Explained with ... Cooking?,2020-02-07,5375,316,0,48,Feb
219,The 4 Types of Sports Analytics Projects,2020-02-03,32113,1044,0,62,Feb
220,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,595,18,0,13,Jan
221,How I Learned Data Science,2020-01-27,94231,2696,0,210,Jan
222,What is Sports Analytics Really?,2020-01-20,21707,618,0,73,Jan
223,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,111861,3140,0,575,Jan
224,How To Learn Programming for Data Science [3 Steps],2020-01-13,30150,1982,0,96,Jan
225,Data Science Fundamentals: SQL Queries,2020-01-10,6657,216,0,35,Jan
226,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3161,152,0,14,Jan
227,The 9 Books That Changed My Perspective in 2019,2020-01-03,3397,179,0,25,Jan
228,The Data Science Interview: What to Expect,2019-12-30,8679,381,0,32,Dec
229,5 Data Science Resolutions for 2020,2019-12-27,475,25,0,12,Dec
230,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,17370,610,0,93,Dec
231,Collision Course: Sports Betting + Data Science,2019-12-20,18880,515,0,27,Dec
232,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100993,2930,0,204,Dec
233,5 Sports Analytics Books to Get You Started,2019-12-13,11168,419,0,60,Dec
234,Math Needed for Mastering Data Science,2019-12-09,57837,2902,0,222,Dec
235,The 5 Stages of Data Science Adoption,2019-12-06,1333,69,0,17,Dec
236,How YOU Can Land a Sports Analytics Job,2019-12-02,70813,3109,0,231,Dec
237,Data Science Fundamentals: Linear Regression,2019-11-29,6432,172,0,42,Nov
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1137,54,0,12,Nov
239,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6327,276,0,26,Nov
240,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46436,1760,0,80,Nov
241,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5963,137,0,31,Nov
242,Why Selling Is An Important Data Science Skill,2019-11-04,1641,81,0,13,Nov
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2901,73,0,18,Oct
244,Why is Balance Important in Data Science?,2019-10-16,708,32,0,13,Oct
245,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11983,585,0,55,Sep
246,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3990,117,0,34,Sep
247,6 Habits of Successful Data Scientists,2019-09-13,2250,95,0,17,Sep
248,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4813,105,0,9,Sep
249,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,522,24,0,29,Aug
250,Is Data Science Right For You?,2019-08-18,51730,1183,0,109,Aug
251,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15051,395,0,55,Aug
252,How To Get Data Science Experience (Without a Job),2019-08-08,29722,1389,0,77,Aug
253,Take Your Data Science Projects From Good to Great,2019-08-05,1632,108,0,11,Aug
254,The Projects You Should Do To Get A Data Science Job,2019-07-30,152200,5727,0,255,Jul
255,What Does a Data Scientist Actually Do?,2019-07-19,47519,1288,0,81,Jul
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13115,354,0,43,Jul
257,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18122,532,0,61,Jul
258,Data Science: Pros and Cons,2019-06-30,5397,222,0,18,Jun
259,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,25467,1216,0,89,Jun
260,My Top 5 Data Science Internship Tips,2019-06-15,12040,497,0,24,Jun
261,Golf STATS: Strokes Gained Explained,2019-06-07,7659,159,0,30,Jun
262,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,620,45,0,5,May
263,What I Learned From My Three Degrees,2019-05-17,1274,61,0,12,May
264,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25682,1068,0,66,May
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1259,40,0,2,May
266,Should You Learn R for Data Science?,2019-04-25,21557,570,0,71,Apr
267,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46537,856,0,331,Apr
268,Work From Home Data Scientist: Day in the Life,2019-04-12,28148,757,0,101,Apr
269,Where to Look for Data Science Jobs,2019-03-29,3020,120,0,9,Mar
270,Data Science: Startup vs. Large Corporation,2019-03-21,2232,75,0,4,Mar
271,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6212,176,0,26,Mar
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4236,180,0,15,Mar
273,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,816,33,0,12,Mar
274,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1452,36,0,8,Mar
275,Where YOU Should Start With Data Science Projects,2019-02-19,17467,353,0,17,Feb
276,Watch This Before Applying to Data Science Jobs,2019-02-04,1506,65,0,13,Feb
277,My Top 5 Data Science Resources for 2019,2019-01-05,3724,122,0,17,Jan
278,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,839,35,0,6,Dec
279,The Best Way to Predict NBA Minutes Played,2018-12-11,4630,113,0,14,Dec
280,Demystifying Data Science Roles,2018-11-30,1143,53,0,5,Nov
281,How to Simulate NBA Games in Python,2018-11-19,18099,398,0,49,Nov
282,Should You Get A Masters in Data Science?,2018-11-14,20649,303,0,135,Nov
283,How I Became A Data Scientist From a Business Background,2018-11-12,6500,198,0,23,Nov
284,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8908,194,0,17,Jul
285,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19133,295,0,41,Nov
